Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
XGBoost,0.9676,0.9921,0.9533,0.9723,0.9976
LightGBM,0.8881,0.9723,0.8362,0.8991,0.9735
CatBoost,0.8761,0.9804,0.8086,0.8862,0.9697
Random Forest,0.7517,0.9984,0.5848,0.7375,0.9496
KNN,0.7403,0.8098,0.7381,0.7723,0.8225
Decision Tree,0.7,0.8816,0.5743,0.6955,0.78
Logistic Regression,0.6545,0.7331,0.6619,0.6957,0.7435
Naive Bayes,0.6687,0.835,0.5543,0.6663,0.732
SVM,0.6028,0.6339,0.7914,0.7039,0.6643
